sim_cond,DGM,N_person,true_var,WLE_rel,beta_kind,N_item_mean,WLE_rel_bias_mean,WLE_rel_est_mean
44,Mixed,100,1,0.8,beta_unif,25.47,0.0030633205944338503,0.7997363446265805
45,Mixed,100,1,0.9,beta_even,55.37,7.036639903238717e-4,0.9000360578446532
45,Mixed,100,1,0.9,beta_norm,49.51,8.694528916824728e-4,0.900022842109334
45,Mixed,100,1,0.9,beta_unif,57.02,8.079510977277215e-4,0.8999164096634107
46,Gaussian,200,1,0.5,beta_even,9.45,0.015099574805898876,0.5036678559085289
46,Gaussian,200,1,0.5,beta_norm,9.33,0.014542494545052903,0.5021037041627684
46,Gaussian,200,1,0.5,beta_unif,9.78,0.01558214256224469,0.5022160263339429
47,Gaussian,200,1,0.6,beta_even,11.45,0.011107217857584183,0.6005314694195328
47,Gaussian,200,1,0.6,beta_norm,11.39,0.011267945263965285,0.600544852889656
47,Gaussian,200,1,0.6,beta_unif,11.72,0.009939131864256316,0.6015039413125045
48,Gaussian,200,1,0.7,beta_even,17.3,0.006836167282162024,0.6999882390532393
48,Gaussian,200,1,0.7,beta_norm,16.29,0.005735981588862409,0.701599002321553
48,Gaussian,200,1,0.7,beta_unif,17.41,0.005390581936339849,0.6987382895485342
49,Gaussian,200,1,0.8,beta_even,28.22,0.002229829222507951,0.8005672125317025
49,Gaussian,200,1,0.8,beta_norm,25.48,0.0031052526713566796,0.8003744278503975
49,Gaussian,200,1,0.8,beta_unif,28.51,0.0027593097235133813,0.7996222604458427
50,Gaussian,200,1,0.9,beta_even,59.99,7.164705874035359e-4,0.8999876057618035
50,Gaussian,200,1,0.9,beta_norm,54.4,6.638390454599607e-4,0.9000495950094007
50,Gaussian,200,1,0.9,beta_unif,60.43,7.174646274671547e-4,0.8999745508686626
51,ALD,200,1,0.5,beta_even,9.94,0.016129942176597627,0.5022559511287399
51,ALD,200,1,0.5,beta_norm,9.01,0.017416166341759066,0.5079949628991057
51,ALD,200,1,0.5,beta_unif,11.18,0.01732620359165288,0.5005169621122997
52,ALD,200,1,0.6,beta_even,15.75,0.009320202772815757,0.5996702106387705
52,ALD,200,1,0.6,beta_norm,11.6,0.011391261399703537,0.6015140333949806
52,ALD,200,1,0.6,beta_unif,17.96,0.01068007341478325,0.6018440783974162
53,ALD,200,1,0.7,beta_even,21.98,0.008274570495155807,0.7001572520063335
53,ALD,200,1,0.7,beta_norm,15.49,0.007606790252706552,0.700854232209985
53,ALD,200,1,0.7,beta_unif,25.17,0.008506105088805845,0.7004697346812722
54,ALD,200,1,0.8,beta_even,31.35,0.00246166322898685,0.8000002244661073
54,ALD,200,1,0.8,beta_norm,24.59,0.0028895199028897713,0.7998539998319143
54,ALD,200,1,0.8,beta_unif,33.44,0.002329773083054335,0.8004914261518158
55,ALD,200,1,0.9,beta_even,68.57,0.008251030517831676,0.8917489838439765
55,ALD,200,1,0.9,beta_norm,62.68,7.388769290122654e-4,0.9001053582113905
55,ALD,200,1,0.9,beta_unif,67.85,0.007397497220567534,0.8928326865448437
56,Mixed,200,1,0.5,beta_even,8.6,0.015472124366332288,0.5024615718850485
56,Mixed,200,1,0.5,beta_norm,8.84,0.016558607666392947,0.5001982469881207
56,Mixed,200,1,0.5,beta_unif,9.66,0.016867899317678018,0.5048493523111455
57,Mixed,200,1,0.6,beta_even,11.66,0.009873819934450362,0.6008347007018656
57,Mixed,200,1,0.6,beta_norm,10.74,0.011060813372850555,0.5989955985701094
57,Mixed,200,1,0.6,beta_unif,12.29,0.011137622886697276,0.6017049159145892
58,Mixed,200,1,0.7,beta_even,16.57,0.005454135924184659,0.6999788053078474
58,Mixed,200,1,0.7,beta_norm,15.94,0.0064774852507425065,0.70127546453146306
58,Mixed,200,1,0.7,beta_unif,17.33,0.005210562248802125,0.7004971781798075
59,Mixed,200,1,0.8,beta_even,30.75,0.0023576869755891137,0.7993582782054024
59,Mixed,200,1,0.8,beta_norm,27.08,0.002770077917182954,0.7999715573433028
59,Mixed,200,1,0.8,beta_unif,31.19,0.0025583099680993857,0.7998667489042304
60,Mixed,200,1,0.9,beta_even,56.18,8.567518785783112e-4,0.900098216575664
60,Mixed,200,1,0.9,beta_norm,53.17,8.167402644755384e-4,0.8999828585955958
60,Mixed,200,1,0.9,beta_unif,56.65,7.766623775158998e-4,0.8999777225670182
61,Gaussian,500,1,0.5,beta_even,8.79,0.012786456648827943,0.5032302517916617
61,Gaussian,500,1,0.5,beta_norm,8.26,0.01660828503418454,0.4986489872232258
61,Gaussian,500,1,0.5,beta_unif,9.54,0.014225581198471013,0.504057097314669
62,Gaussian,500,1,0.6,beta_even,11.39,0.010612698617783327,0.6036047919389652
62,Gaussian,500,1,0.6,beta_norm,11,0.010084265523781676,0.6018604300958712
62,Gaussian,500,1,0.6,beta_unif,11.68,0.010514052362094094,0.5997129481442358
63,Gaussian,500,1,0.7,beta_even,19.05,0.005029667764137256,0.700216825737319
63,Gaussian,500,1,0.7,beta_norm,16.24,0.006412741041179738,0.7007973182414156
63,Gaussian,500,1,0.7,beta_unif,19.25,0.005139724132151342,0.6993663291337624
64,Gaussian,500,1,0.8,beta_even,32.94,0.0021958849274104275,0.8001210372512025
64,Gaussian,500,1,0.8,beta_norm,27.94,0.0023394654187775497,0.7999608123839045
64,Gaussian,500,1,0.8,beta_unif,32.41,0.0022291452214115892,0.7994214439529683
65,Gaussian,500,1,0.9,beta_even,63.15,6.470283677128486e-4,0.9000868638713062
65,Gaussian,500,1,0.9,beta_norm,53.66,8.444526822468057e-4,0.8999473842865411
65,Gaussian,500,1,0.9,beta_unif,63.39,7.562378186660346e-4,0.8999063487016604
66,ALD,500,1,0.5,beta_even,11.15,0.01118706019671549,0.5008782744375673
66,ALD,500,1,0.5,beta_norm,9.4,0.015067040302114762,0.5006426584798953
66,ALD,500,1,0.5,beta_unif,12.82,0.014359618502012448,0.5002183517570935
67,ALD,500,1,0.6,beta_even,17.31,0.006286107200929862,0.5995327339405122
67,ALD,500,1,0.6,beta_norm,12.96,0.010100175531635976,0.6021977449040077
67,ALD,500,1,0.6,beta_unif,19.69,0.006869212004568168,0.6005958954300354
68,ALD,500,1,0.7,beta_even,25.23,0.004008907808170287,0.699404968285139
68,ALD,500,1,0.7,beta_norm,17.13,0.005192281021790661,0.7003174322431237
68,ALD,500,1,0.7,beta_unif,28.74,0.00423079739870038,0.7004143855490088
69,ALD,500,1,0.8,beta_even,45.06,0.002689987545493635,0.8001271208701819
69,ALD,500,1,0.8,beta_norm,26.83,0.00313753606469285,0.8004117479794609
69,ALD,500,1,0.8,beta_unif,47.55,0.0027653409520223505,0.7996801898409135
70,ALD,500,1,0.9,beta_even,68.8,0.03176827419470222,0.8682317258052978
70,ALD,500,1,0.9,beta_norm,58.38,7.603581872743915e-4,0.9000657820487964
70,ALD,500,1,0.9,beta_unif,67.36,0.024291993394360042,0.87570800660564
71,Mixed,500,1,0.5,beta_even,8.52,0.01486477764717895,0.5041214832963997
71,Mixed,500,1,0.5,beta_norm,8.32,0.018890345901272223,0.49683043669983334
71,Mixed,500,1,0.5,beta_unif,9.05,0.016125345745774556,0.5035670529580835
72,Mixed,500,1,0.6,beta_even,11.92,0.009427891352759182,0.6018277774003047
72,Mixed,500,1,0.6,beta_norm,11.19,0.011021331955437107,0.5991272774305584
72,Mixed,500,1,0.6,beta_unif,12.31,0.010244851881541497,0.6016652029587781
73,Mixed,500,1,0.7,beta_even,16.59,0.005787793531413285,0.7010628004184747
73,Mixed,500,1,0.7,beta_norm,15.34,0.006235277184565056,0.6996105453181827
73,Mixed,500,1,0.7,beta_unif,17.04,0.005457543588517311,0.6999284800959643
74,Mixed,500,1,0.8,beta_even,26.46,0.0024729682548168107,0.7991567287590726
74,Mixed,500,1,0.8,beta_norm,24.04,0.002640260191543167,0.8000719090178544
74,Mixed,500,1,0.8,beta_unif,26.88,0.0031569706768613892,0.7997427738819892
75,Mixed,500,1,0.9,beta_even,59.33,6.744514853255645e-4,0.9000352906286773
75,Mixed,500,1,0.9,beta_norm,52.8,7.914712352926756e-4,0.8999306222198252
75,Mixed,500,1,0.9,beta_unif,60.34,6.211536830702691e-4,0.9000899510978799
